# Benjamin Haibe-Kains. All rights reserved.
# model.name: EEI
# mean.1: -0.652214 -0.688667
# mean.2: -0.121099 0.80199
# mean.3: 0.47731 -0.479124
# sigma: 0.0995903 0.066889
# pro: 0.342776 0.0991501 0.558074
# scale: 0.081618
# shape: 1.2202 0.819538
# gaussian.AURKA.mean: -0.213892
# gaussian.AURKA.sigma: 0.191691
# rescale.q: 0.05
"module","probe","EntrezGene.ID","coefficient"
"ESR1","205225_at","2099","Inf"
"","209602_s_at","2625","35.3444"
"","212956_at","23158","34.0607"
"","203963_at","771","31.0992"
"","237086_at","3169","28.9852"
"","204798_at","4602","26.7246"
"","209173_at","10551","26.6039"
"","214440_at","9","26.494"
"","200670_at","7494","25.9955"
"","1555460_a_at","25800","25.9246"
"","219197_s_at","57758","25.6946"
"","228241_at","155465","25.5089"
"","41660_at","9620","25.4078"
"","227081_at","7802","25.4025"
"","227198_at","3899","25.3461"
"","218195_at","79624","25.026"
"","205696_s_at","2674","24.9037"
"","209696_at","2203","24.8917"
"","209459_s_at","18","24.7647"
"","214053_at","2066","24.6266"
"","208682_s_at","10916","24.5935"
"","222125_s_at","54681","24.4441"
"","217133_x_at","1555","24.3523"
"","205355_at","36","24.2786"
"","218976_at","56521","24.2373"
"","204623_at","7033","24.2206"
"","211712_s_at","8416","24.0918"
"","222835_at","79875","24.0708"
"","205862_at","9687","24.0538"
"","209205_s_at","8543","-23.8129"
"","218211_s_at","79083","23.8108"
"","205009_at","7031","23.8012"
"","214109_at","987","23.7639"
"","203685_at","596","23.6229"
"","213234_at","57613","23.175"
"","217838_s_at","51466","22.8505"
"","218532_s_at","54463","22.7224"
"","200600_at","4478","-22.6747"
"","225092_at","9135","22.6219"
"","208627_s_at","4904","-22.6004"
"","228915_at","1602","22.4281"
"","201579_at","2195","-22.3607"
"","223062_s_at","29968","-22.188"
"","217979_at","27075","22.1595"
"","212276_at","23175","-22.0443"
"","212492_s_at","23030","22.024"
"","1553613_s_at","2296","-21.9009"
"","209339_at","6478","21.8636"
"","1553962_s_at","388","21.7376"
"","201349_at","9368","21.6612"
"","226961_at","222171","21.6566"
"","59437_at","138162","21.3378"
"","204811_s_at","9254","21.1444"
"","212771_at","221061","-21.1252"
"","205548_s_at","10950","-21.1185"
"","220192_x_at","25803","21.0942"
"","201754_at","1345","21.0861"
"","221004_s_at","81618","-21.0443"
"","212637_s_at","11059","21.013"
"","244745_at","85004","20.9524"
"","219806_s_at","56935","-20.9443"
"","204934_s_at","3249","20.9337"
"","220581_at","80129","20.9297"
"","232366_at","9778","20.8899"
"","227182_at","203328","20.8533"
"","203637_s_at","4281","-20.8109"
"","205044_at","2568","-20.7796"
"","217770_at","51604","20.6831"
"","219741_x_at","79818","20.645"
"","200824_at","2950","-20.598"
"","223103_at","10809","20.5669"
"","226403_at","147798","20.5559"
"","222891_s_at","53335","-20.5485"
"","215729_s_at","51442","-20.5312"
"","205074_at","6584","20.5122"
"","205030_at","2173","-20.4387"
"","230291_s_at","4781","-20.3809"
"","203256_at","1001","-20.3519"
"","202504_at","23650","-20.3269"
"","232304_at","57162","-20.3023"
"","212510_at","23171","20.0361"
"","226213_at","2065","20.0049"
"","207030_s_at","1466","-20.0037"
"","209283_at","1410","-19.9287"
"","201037_at","5214","-19.9116"
"","203571_s_at","10974","19.8138"
"","1560620_at","60598","19.8136"
"","203143_s_at","9674","19.6983"
"","51158_at","400451","19.6643"
"","204401_at","3783","-19.6187"
"","224909_s_at","57580","19.6073"
"","203628_at","3480","19.5987"
"","225612_s_at","84002","-19.5754"
"","201161_s_at","8531","-19.5034"
"","218966_at","55930","19.4815"
"","221872_at","5918","-19.4467"
"","201596_x_at","3875","19.4316"
"","213564_x_at","3945","-19.4303"
"","203476_at","7162","19.3787"
"","212508_at","64112","19.371"
"","218692_at","55638","19.3474"
"","221823_at","90355","19.3469"
"","219786_at","9633","19.2917"
"","202371_at","79921","19.2683"
"","204304_s_at","8842","-19.2646"
"","202641_at","403","19.2292"
"","209681_at","10560","19.2252"
"","204862_s_at","4832","19.2036"
"","200827_at","5351","-19.1772"
"","230748_at","9120","19.152"
"","204751_x_at","1824","-19.131"
"","202342_s_at","23321","-19.0385"
"","210024_s_at","10477","-18.9524"
"","201397_at","26227","-18.9079"
"","36499_at","1952","18.8437"
"","211000_s_at","3572","18.8358"
"","201012_at","301","-18.8048"
"","240827_at","399717","18.781"
"","204045_at","9338","18.6997"
"","823_at","6376","-18.6963"
"","204231_s_at","2166","18.6956"
"","202501_at","10982","-18.6349"
"","204061_at","5613","-18.5824"
"","202719_s_at","26136","-18.5804"
"","218259_at","57496","18.5739"
"","225265_at","5937","-18.5511"
"","208711_s_at","595","18.5385"
"","224516_s_at","51523","18.4859"
"","210720_s_at","63941","18.4493"
"","203988_s_at","2530","18.4469"
"","1555270_a_at","7466","18.4385"
"","219687_at","55733","18.421"
"","202207_at","10123","-18.4179"
"","208873_s_at","7905","18.4171"
"","211967_at","114908","-18.409"
"","227425_at","9185","18.4017"
"","225996_at","164832","18.3769"
"","211110_s_at","367","18.3442"
"","219919_s_at","54961","18.3422"
"","226062_x_at","55793","18.3117"
"","221765_at","7357","18.2988"
"","203574_at","4783","-18.2936"
"","200790_at","4953","-18.2726"
"","209759_s_at","1632","18.2542"
"","222212_s_at","29956","18.2088"
"","202037_s_at","6422","-18.193"
"","204981_at","5002","18.1823"
"","203438_at","8614","18.177"
"","203632_s_at","51704","-18.1657"
